"ID","longitude","latitude","topo","inout"
"X390",-44.45,-22.2,1376.57006835938,1
"X391",-44.4,-22.2,1351.38989257812,1
"X392",-44.35,-22.2,1370.96606445312,1
"X393",-44.3,-22.2,1216.77941894531,1
"X394",-44.25,-22.2,968.880126953125,1
"X395",-44.2,-22.2,871.583923339844,1
"X396",-44.15,-22.2,763.432678222656,1
"X397",-46.6,-22.15,1016.39758300781,1
"X398",-46.55,-22.15,1140.23120117188,1
"X399",-46.5,-22.15,1223.078125,1
"X400",-46.45,-22.15,1254.00561523438,1
"X401",-46.4,-22.15,1361.45788574219,1
"X402",-46.35,-22.15,1304.46044921875,1
"X403",-46.3,-22.15,1220.70874023438,1
"X404",-46.25,-22.15,1298.44213867188,1
"X405",-46.2,-22.15,1105.31164550781,1
"X406",-46.15,-22.15,1019.87158203125,1
"X407",-46.1,-22.15,957.256958007812,1
"X408",-46.05,-22.15,958.76025390625,1
"X409",-46,-22.15,944.670532226562,1
"X410",-45.95,-22.15,887.258361816406,1
"X411",-45.9,-22.15,864.428527832031,1
"X412",-45.85,-22.15,864.428466796875,1
"X413",-45.8,-22.15,864.428466796875,1
"X414",-45.75,-22.15,864.428466796875,1
"X415",-45.7,-22.15,889.503051757812,1
"X416",-45.65,-22.15,993.116455078125,1
"X417",-45.6,-22.15,1141.19311523438,1
"X418",-45.55,-22.15,1161.05212402344,1
"X419",-45.5,-22.15,1128.2216796875,1
"X420",-45.45,-22.15,1212.71350097656,1
"X421",-45.4,-22.15,1313.5751953125,1
"X422",-45.35,-22.15,1274.46960449219,1
"X423",-45.3,-22.15,1248.76940917969,1
"X424",-45.25,-22.15,1211.01928710938,1
"X425",-45.2,-22.15,1220.03210449219,1
"X426",-45.15,-22.15,1068.35290527344,1
"X427",-45.1,-22.15,959.32421875,1
"X428",-45.05,-22.15,976.189270019531,1
"X429",-45,-22.15,1063.99426269531,1
"X430",-44.95,-22.15,1159.49304199219,1
"X431",-44.9,-22.15,1339.89880371094,1
"X432",-44.85,-22.15,1440.57006835938,1
"X433",-44.8,-22.15,1612.07556152344,1
"X434",-44.75,-22.15,1752.73327636719,1
"X435",-44.7,-22.15,1649.13647460938,1
"X436",-44.65,-22.15,1563.32543945312,1
"X437",-44.6,-22.15,1658.69702148438,1
"X438",-44.55,-22.15,1674.60327148438,1
"X439",-44.5,-22.15,1555.39038085938,1
"X440",-44.45,-22.15,1396.99047851562,1
"X441",-44.4,-22.15,1266.27856445312,1
"X442",-44.35,-22.15,1274.88293457031,1
"X443",-44.3,-22.15,1353.46362304688,1
"X444",-44.25,-22.15,1243.32263183594,1
"X445",-44.2,-22.15,1002.41363525391,1
"X446",-44.15,-22.15,805.72119140625,1
"X447",-44.1,-22.15,683.751220703125,1
"X448",-44.05,-22.15,565.148193359375,1
"X449",-44,-22.15,584.473327636719,1
"X450",-46.6,-22.1,916.583129882812,1
"X451",-46.55,-22.1,1085.61840820312,1
"X452",-46.5,-22.1,1135.779296875,1
"X453",-46.45,-22.1,1121.36889648438,1
"X454",-46.4,-22.1,1207.61193847656,1
"X455",-46.35,-22.1,1251.84851074219,1
"X456",-46.3,-22.1,1255.67907714844,1
"X457",-46.25,-22.1,1286.2578125,1
"X458",-46.2,-22.1,1247.46008300781,1
"X459",-46.15,-22.1,1242.380859375,1
"X460",-46.1,-22.1,1204.70153808594,1
"X461",-46.05,-22.1,1247.53442382812,1
"X462",-46,-22.1,1217.30737304688,1
"X463",-45.95,-22.1,1069.75537109375,1
"X464",-45.9,-22.1,866.686950683594,1
"X465",-45.85,-22.1,864.428405761719,1
"X466",-45.8,-22.1,864.428466796875,1
"X467",-45.75,-22.1,864.428466796875,1
"X468",-45.7,-22.1,864.905578613281,1
"X469",-45.65,-22.1,894.933166503906,1
"X470",-45.6,-22.1,977.96337890625,1
"X471",-45.55,-22.1,1059.72924804688,1
"X472",-45.5,-22.1,1125.255859375,1
"X473",-45.45,-22.1,1207.10205078125,1
"X474",-45.4,-22.1,1329.97045898438,1
"X475",-45.35,-22.1,1365.77380371094,1
"X476",-45.3,-22.1,1191.6982421875,1
"X477",-45.25,-22.1,1106.90954589844,1
"X478",-45.2,-22.1,1019.15478515625,1
"X479",-45.15,-22.1,929.93115234375,1
"X480",-45.1,-22.1,874.421508789062,1
"X481",-45.05,-22.1,895.386474609375,1
"X482",-45,-22.1,1070.62426757812,1
"X483",-44.95,-22.1,1167.61791992188,1
"X484",-44.9,-22.1,1256.96313476562,1
"X485",-44.85,-22.1,1256.07409667969,1
"X486",-44.8,-22.1,1427.11669921875,1
"X487",-44.75,-22.1,1676.10827636719,1
"X488",-44.7,-22.1,1720.6279296875,1
"X489",-44.65,-22.1,1690.75854492188,1
"X490",-44.6,-22.1,1614.66015625,1
"X491",-44.55,-22.1,1528.91149902344,1
"X492",-44.5,-22.1,1489.21594238281,1
"X493",-44.45,-22.1,1484.45776367188,1
"X494",-44.4,-22.1,1313.46923828125,1
"X495",-44.35,-22.1,1256.64624023438,1
"X496",-44.3,-22.1,1263.08935546875,1
