V1;V2
-41,05765404;-19,00441899
-41,05811304;-19,00456101
-41,05857096;-19,004634
-41,05902888;-19,00482201
-41,05924308;-19,00526103
-41,05948104;-19,00567701
-41,05959696;-19,00613799
-41,05993212;-19,00655496
-41,06039112;-19,00665099
-41,06094804;-19,00654101
-41,06143188;-19,00649898
-41,06198916;-19,00638801
-41,06247408;-19,00627704
-41,06339388;-19,00614699
-41,06387916;-19,00603602
-41,06436408;-19,005948
-41,06445192;-19,00598004
-41,06491884;-19,00609101
-41,06535192;-19,00634697
-41,06580804;-19,00671903
-41,066046;-19,00711197
-41,06589696;-19,00754802
-41,06567484;-19,007937
-41,06538216;-19,00832598
-41,06496816;-19,008576
-41,06464992;-19,00898703
-41,064525;-19,00946898
-41,06449584;-19,00990602
-41,06454012;-19,01036601
-41,06463192;-19,01087298
-41,06479716;-19,01140398
-41,06505888;-19,011843
-41,06515212;-19,01228103
-41,06502504;-19,01290104
-41,06480292;-19,01335896
-41,06470212;-19,013841
-41,06445588;-19,01425302
-41,06425896;-19,01468898
-41,06423016;-19,01514897
-41,06441988;-19,015587
-41,06465712;-19,01602602
-41,064966;-19,01664999
-41,06527704;-19,01697498
-41,06566116;-19,01739204
-41,06606616;-19,01799396
-41,06625588;-19,01840904
-41,06642112;-19,01884797
-41,06675412;-19,01942604
-41,06709;-19,01977299
-41,06735208;-19,02014397
-41,06780784;-19,02060801
-41,068143;-19,02102399
-41,06876508;-19,02167397
-41,069295;-19,02200004
-41,06970288;-19,02228003
-41,070159;-19,02267504
-41,07054312;-19,02300003
-41,07083004;-19,02334698
-41,07092184;-19,023831
-41,07096684;-19,02426903
-41,07093696;-19,02482001
-41,07073896;-19,02534804
-41,07020184;-19,02587202
-41,069835;-19,02639798
-41,069637;-19,02685698
-41,06924604;-19,027314
-41,06892816;-19,02770199
-41,06868084;-19,02822903
-41,06858004;-19,02871098
-41,06842992;-19,02916998
-41,06840112;-19,02967596
-41,06839716;-19,03020498
-41,06822184;-19,03073301
-41,06807316;-19,03119201
-41,06801988;-19,03174299
-41,06782188;-19,032156
-41,067504;-19,03252104
-41,06689884;-19,03260798
-41,06643912;-19,03267296
-41,06600208;-19,03285404
-41,06563596;-19,03314996
-41,06550996;-19,03374702
-41,06531016;-19,03436604
-41,06518488;-19,034802
-41,06520396;-19,03540104
-41,06505492;-19,03583601
-41,06478492;-19,03620204
-41,06444292;-19,03659003
-41,06414988;-19,03695597
-41,06361384;-19,03729698
-41,06317716;-19,03754601
-41,06273796;-19,03788702
-41,06239704;-19,03818402
-41,06205396;-19,038618
-41,06178396;-19,03898403
-41,06173104;-19,03948902
-41,06189592;-19,03997403
-41,06191608;-19,04045697
